ds,y
2004-08-01,185.2
2004-09-01,128.9
2004-10-01,125.6
2004-11-01,166.2
2004-12-01,139.8
2005-01-01,163.2
2005-02-01,8.4
2005-03-01,82.4
2005-04-01,81.7
2005-05-01,331.1
2005-06-01,82.3
2005-07-01,104.0
2005-08-01,58.5
2005-09-01,175.7
2005-10-01,314.5
2005-11-01,362.9
2005-12-01,166.0
2006-01-01,454.4
2006-02-01,115.5
2006-03-01,83.1
2006-04-01,239.8
2006-05-01,205.7
2006-06-01,236.8
2006-07-01,153.8
2006-08-01,127.3
2006-09-01,83.3
2006-10-01,102.0
2006-11-01,185.6
2006-12-01,765.9
2007-01-01,450.1
2007-02-01,105.5
2007-03-01,269.1
2007-04-01,240.2
2007-05-01,127.2
2007-06-01,139.0
2007-07-01,141.7
2007-08-01,190.7
2007-09-01,149.0
2007-10-01,237.2
2007-11-01,367.9
2007-12-01,468.6
2008-01-01,262.6
2008-02-01,129.2
2008-03-01,294.1
2008-04-01,87.2
2008-05-01,124.9
2008-06-01,118.3
2008-07-01,89.1
2008-08-01,327.3
2008-09-01,164.4
2008-10-01,159.5
2008-11-01,324.3
2008-12-01,244.2
2009-01-01,38.3
2009-02-01,201.8
2009-03-01,223.3
2009-04-01,183.7
2009-05-01,198.6
2009-06-01,21.8
2009-07-01,161.0
2009-08-01,177.8
2009-09-01,109.6
2009-10-01,133.4
2009-11-01,281.8
2009-12-01,189.8
2010-01-01,69.5
2010-02-01,6.3
2010-03-01,238.0
2010-04-01,158.5
2010-05-01,157.5
2010-06-01,240.5
2010-07-01,298.5
2010-08-01,158.4
2010-09-01,121.5
2010-10-01,166.2
2010-11-01,278.8
2010-12-01,181.4
2011-01-01,513.2
2011-02-01,23.0
2011-03-01,256.6
2011-04-01,217.8
2011-05-01,127.0
2011-06-01,213.0
2011-07-01,76.6
2011-08-01,81.4
2011-09-01,136.4
2011-10-01,216.8
2011-11-01,377.8
2011-12-01,284.6
2012-01-01,106.1
2012-02-01,83.6
2012-03-01,313.4
2012-04-01,260.6
2012-05-01,292.0
2012-06-01,53.0
2012-07-01,130.8
2012-08-01,119.0
2012-09-01,107.6
2012-10-01,122.2
2012-11-01,208.2
2012-12-01,363.4
2013-01-01,262.0
2013-02-01,395.2
2013-03-01,85.8
2013-04-01,159.4
2013-05-01,211.4
2013-06-01,111.4
2013-07-01,174.6
2013-08-01,165.6
2013-09-01,257.0
2013-10-01,285.4
2013-11-01,292.4
2013-12-01,348.2
2014-01-01,75.4
2014-02-01,0.2
2014-03-01,66.0
2014-04-01,110.0
2014-05-01,125.8
2014-06-01,71.4
2014-07-01,148.6
2014-08-01,241.0
2014-09-01,83.6
2014-10-01,120.0
2014-11-01,250.8
2014-12-01,245.6
2015-01-01,79.6
2015-02-01,18.8
2015-03-01,84.4
2015-04-01,73.2
2015-05-01,89.0
2015-06-01,95.8
2015-07-01,116.8
2015-08-01,185.8
2015-09-01,61.6
2015-10-01,87.2
2015-11-01,72.6
2015-12-01,302.3
2016-01-01,126.6
2016-02-01,186.0
2016-03-01,6.2
2016-04-01,89.8
2016-05-01,193.8
2016-06-01,162.8
2016-07-01,168.6
2016-08-01,139.2
2016-09-01,118.9
2016-10-01,181.0
2016-11-01,290.2
2016-12-01,292.6
2017-01-01,197.6
2017-02-01,158.4
2017-03-01,136.2
2017-04-01,208.6
2017-05-01,190.0
2017-06-01,106.0
2017-07-01,79.6
2017-08-01,84.2
2017-09-01,124.4
2017-10-01,120.8
2017-11-01,268.6
2017-12-01,371.2
2018-01-01,287.0
2018-02-01,14.8
2018-03-01,44.6
2018-04-01,61.2
2018-05-01,132.2
2018-06-01,182.6
2018-07-01,143.2
2018-08-01,121.6
2018-09-01,144.4
2018-10-01,234.4
2018-11-01,169.6
2018-12-01,172.6
2019-01-01,63.6
2019-02-01,31.6
2019-03-01,72.2
2019-04-01,174.8
2019-05-01,69.0
2019-06-01,173.8
2019-07-01,12.2
2019-08-01,11.8
2019-09-01,22.8
2019-10-01,176.8
2019-11-01,137.4
2019-12-01,421.5
2020-01-01,88.4
2020-02-01,65.0
2020-03-01,108.8
2020-04-01,188.0
